student_id,date,session_type,status
STU0001,2023-02-27,mentoring,present
STU0001,2023-03-20,lecture,present
STU0001,2023-04-26,lab,present
STU0001,2023-04-28,lecture,present
STU0001,2023-06-02,lecture,present
STU0001,2023-06-13,lab,present
STU0001,2023-06-30,lab,present
STU0001,2023-07-12,mentoring,present
STU0001,2023-07-20,lecture,present
STU0001,2023-07-31,mentoring,present
STU0001,2023-08-11,mentoring,present
STU0001,2023-08-24,lab,present
STU0001,2023-10-13,lab,absent
STU0001,2023-10-24,lecture,present
STU0001,2023-11-10,mentoring,present
STU0001,2023-11-29,lecture,late
STU0001,2023-12-26,mentoring,present
STU0001,2024-01-08,lecture,late
STU0001,2024-01-15,lab,absent
STU0001,2024-02-01,lab,present
STU0001,2024-02-08,lab,present
STU0001,2024-02-15,lab,present
STU0001,2024-02-19,lecture,present
STU0001,2024-03-07,mentoring,present
STU0001,2024-03-27,lecture,present
STU0001,2024-04-05,lab,late
STU0001,2024-04-19,lecture,late
STU0001,2024-05-07,lecture,present
STU0001,2024-06-20,lecture,late
STU0001,2024-06-28,lecture,present
STU0001,2024-07-05,mentoring,late
STU0001,2024-07-17,lab,present
STU0001,2024-07-23,lecture,absent
STU0001,2024-08-26,lab,late
STU0001,2024-08-30,lecture,present
STU0001,2024-09-04,lab,absent
STU0001,2024-10-03,lab,present
STU0001,2024-10-09,lecture,present
STU0001,2024-10-17,lecture,present
STU0001,2024-11-07,lab,present
STU0001,2024-11-25,lab,absent
STU0001,2024-12-03,mentoring,present
STU0001,2024-12-17,lecture,present
STU0001,2025-01-13,lab,present
STU0002,2023-08-17,lab,present
STU0002,2023-09-29,lab,present
STU0002,2023-11-03,lecture,present
STU0002,2023-11-17,lecture,present
STU0002,2023-11-29,mentoring,absent
STU0002,2023-12-25,lecture,present
STU0002,2024-01-11,lecture,late
STU0002,2024-01-17,lecture,present
STU0002,2024-02-02,lecture,present
STU0002,2024-02-06,mentoring,present
STU0002,2024-02-22,lab,absent
STU0002,2024-03-01,lecture,present
STU0002,2024-03-07,lab,present
STU0002,2024-03-13,lecture,present
STU0002,2024-03-19,lab,present
STU0002,2024-03-20,mentoring,present
STU0002,2024-03-26,lecture,present
STU0002,2024-06-05,lab,present
STU0002,2024-06-06,mentoring,absent
STU0002,2024-07-17,mentoring,present
STU0002,2024-07-24,lab,present
STU0002,2024-08-14,lab,late
STU0002,2024-08-20,lab,present
STU0002,2024-09-03,lecture,late
STU0002,2024-10-08,mentoring,absent
STU0002,2024-10-11,lecture,absent
STU0002,2024-10-17,lecture,present
STU0002,2024-10-21,mentoring,present
STU0002,2024-10-28,lab,absent
STU0002,2024-10-29,mentoring,present
STU0002,2024-12-27,lecture,present
STU0002,2025-01-02,mentoring,absent
STU0003,2024-02-13,mentoring,late
STU0003,2024-02-19,mentoring,present
STU0003,2024-02-28,lab,present
STU0003,2024-03-01,mentoring,present
STU0003,2024-03-06,mentoring,present
STU0003,2024-04-01,mentoring,present
STU0003,2024-04-04,mentoring,present
STU0003,2024-06-11,lecture,present
STU0003,2024-07-26,lab,present
STU0003,2024-08-05,mentoring,present
STU0003,2024-08-19,lab,present
STU0003,2024-08-21,lecture,absent
STU0003,2024-09-16,lab,present
STU0003,2024-09-17,mentoring,late
STU0003,2024-09-20,lab,late
STU0003,2024-10-08,mentoring,late
STU0003,2024-10-22,mentoring,late
STU0003,2024-10-29,lecture,late
STU0003,2024-10-30,lab,present
STU0003,2024-12-26,lab,absent
STU0004,2024-07-31,lecture,present
STU0004,2024-08-30,lecture,present
STU0004,2024-10-01,mentoring,present
STU0004,2024-11-15,lecture,present
STU0004,2024-11-28,lab,present
STU0004,2024-12-12,mentoring,late
STU0005,2023-01-30,lecture,late
STU0005,2023-02-16,mentoring,present
STU0005,2023-02-24,mentoring,present
STU0005,2023-03-01,lab,late
STU0005,2023-03-07,lecture,absent
STU0005,2023-03-13,lecture,late
STU0005,2023-03-17,lecture,late
STU0005,2023-03-21,lab,absent
STU0005,2023-03-22,mentoring,present
STU0005,2023-03-23,lecture,absent
STU0005,2023-03-27,mentoring,absent
STU0005,2023-04-05,mentoring,late
STU0005,2023-04-06,lecture,present
STU0005,2023-06-08,mentoring,present
STU0005,2023-06-19,lab,present
STU0005,2023-06-22,lab,late
STU0005,2023-06-27,lab,absent
STU0005,2023-07-05,lab,present
STU0005,2023-08-10,mentoring,late
STU0005,2023-09-01,lab,late
STU0005,2023-09-22,lecture,absent
STU0005,2023-09-28,lab,late
STU0005,2023-10-03,lab,present
STU0005,2023-10-11,mentoring,present
STU0005,2023-10-27,lecture,present
STU0005,2023-11-29,lab,present
STU0005,2024-01-03,lab,present
STU0005,2024-01-11,mentoring,present
STU0005,2024-01-16,lab,present
STU0005,2024-01-22,lab,present
STU0005,2024-01-25,lab,present
STU0005,2024-02-26,lecture,absent
STU0005,2024-02-27,lab,present
STU0005,2024-02-29,lecture,present
STU0005,2024-06-13,lab,late
STU0005,2024-06-14,mentoring,present
STU0005,2024-06-18,lab,present
STU0005,2024-06-28,mentoring,present
STU0005,2024-07-12,lab,absent
STU0005,2024-08-05,lab,present
STU0005,2024-09-23,lecture,present
STU0005,2024-10-04,lab,present
STU0005,2024-11-27,mentoring,late
STU0005,2024-12-03,lab,absent
STU0005,2024-12-12,lecture,present
STU0006,2023-09-04,lecture,present
STU0006,2023-09-07,mentoring,present
STU0006,2023-11-17,mentoring,present
STU0006,2023-11-24,lecture,late
STU0006,2023-12-22,lab,present
STU0006,2024-02-09,lecture,present
STU0006,2024-03-11,mentoring,present
STU0006,2024-04-18,mentoring,present
STU0006,2024-05-01,lecture,present
STU0006,2024-05-23,lab,present
STU0006,2024-06-14,lab,absent
STU0006,2024-06-19,lecture,present
STU0006,2024-07-15,lecture,present
STU0006,2024-07-16,lab,present
STU0006,2024-08-05,lecture,present
STU0006,2024-08-09,mentoring,absent
STU0006,2024-08-14,lab,present
STU0006,2024-08-22,mentoring,present
STU0006,2024-08-23,lecture,late
STU0006,2024-09-02,lab,present
STU0006,2024-09-04,mentoring,present
STU0006,2024-09-11,lecture,present
STU0006,2024-10-28,lab,present
STU0006,2024-11-27,lecture,present
STU0006,2024-11-28,lab,present
STU0006,2024-12-30,lab,present
STU0007,2024-03-25,lecture,present
STU0007,2024-04-03,lecture,present
STU0007,2024-05-06,lab,present
STU0007,2024-05-10,lecture,present
STU0007,2024-05-22,lab,present
STU0007,2024-06-21,lecture,present
STU0007,2024-07-16,lecture,present
STU0007,2024-07-29,mentoring,late
STU0007,2024-07-30,lecture,present
STU0007,2024-08-05,lab,present
STU0007,2024-08-23,lecture,late
STU0007,2024-09-17,lab,present
STU0007,2024-10-30,lecture,present
