assessment_id,student_id,course_id,module,type,max_score,scored,due_date,submitted_date
ASM000001,STU0001,CRS013,1,quiz,25,19.6,2023-03-02,2023-03-02
ASM000002,STU0001,CRS013,1,assignment,50,24.0,2023-02-24,2023-02-26
ASM000003,STU0001,CRS013,2,quiz,25,19.7,2023-03-22,2023-03-20
ASM000004,STU0001,CRS013,2,assignment,50,41.9,2023-03-12,2023-03-17
ASM000005,STU0001,CRS013,3,quiz,25,22.5,2023-03-27,2023-03-29
ASM000006,STU0001,CRS013,3,assignment,50,18.8,2023-04-11,2023-04-10
ASM000007,STU0001,CRS013,3,project,100,54.1,2023-04-14,2023-04-14
ASM000008,STU0001,CRS013,4,quiz,25,16.7,2023-05-01,2023-04-29
ASM000009,STU0001,CRS013,4,assignment,50,38.7,2023-05-01,2023-04-28
ASM000010,STU0001,CRS013,5,quiz,25,13.7,2023-05-06,2023-05-03
ASM000011,STU0001,CRS013,5,assignment,50,34.0,2023-05-26,2023-05-31
ASM000012,STU0001,CRS013,6,quiz,25,15.7,2023-05-29,2023-05-29
ASM000013,STU0001,CRS013,6,assignment,50,22.9,2023-06-16,2023-06-19
ASM000014,STU0001,CRS013,6,project,100,20.7,2023-05-23,2023-05-21
ASM000015,STU0001,CRS013,7,quiz,25,13.1,2023-07-07,2023-07-09
ASM000016,STU0001,CRS013,7,assignment,50,45.6,2023-05-26,2023-05-25
ASM000017,STU0001,CRS013,8,quiz,25,11.9,2023-06-26,2023-07-01
ASM000018,STU0001,CRS013,8,assignment,50,38.2,2023-07-12,2023-07-14
ASM000019,STU0001,CRS013,8,exam,100,60.4,2023-06-18,2023-06-16
ASM000020,STU0002,CRS011,1,quiz,25,11.8,2023-08-25,2023-08-24
ASM000021,STU0002,CRS011,1,assignment,50,32.5,2023-08-28,2023-08-30
ASM000022,STU0002,CRS011,2,quiz,25,21.2,2023-09-18,2023-09-19
ASM000023,STU0002,CRS011,2,assignment,50,23.7,2023-09-16,2023-09-16
ASM000024,STU0002,CRS011,3,quiz,25,17.3,2023-09-25,2023-09-26
ASM000025,STU0002,CRS011,3,assignment,50,27.8,2023-10-01,2023-10-01
ASM000026,STU0002,CRS011,3,project,100,58.7,2023-10-13,2023-10-13
ASM000027,STU0002,CRS011,4,quiz,25,18.1,2023-10-26,2023-10-26
ASM000028,STU0002,CRS011,4,assignment,50,26.6,2023-10-10,2023-10-09
ASM000029,STU0002,CRS011,5,quiz,25,21.0,2023-11-19,2023-11-16
